Plant,Event Date,Description,Result,ASP Report
Duane Arnold,8/10/2020,LOOP caused by high winds during derecho,8.00E-04,https://www.nrc.gov/docs/ML2105/ML21056A382.pdf
Brunswick 1,8/3/2020,LOOP during Hurricane Isaias,2.00E-05,https://www.nrc.gov/docs/ML2029/ML20294A552.pdf
D.C. Cook 2,9/4/2020,Manual reactor trip and automatic SI due to failed open pressurizer spray valve,1.00E-05,https://www.nrc.gov/docs/ML2103/ML21035A236.pdf
North Anna 1,2/18/2020,Degraded upper cylinder piston pin bushing discovered during maintenance activities on EDG,2.00E-06,https://www.nrc.gov/docs/ML2105/ML21055A029.pdf
Quad Cities 2,3/30/2020,Electromatic relief valve 3D failed to actuate due to out-of-specification plunger,3.00E-05,https://www.nrc.gov/docs/ML2102/ML21029A319.pdf
Surry 2,11/20/2019,AFW system flow diversion due to failed pump discharge check valve,5.00E-06,https://www.nrc.gov/docs/ML2021/ML20212L517.pdf
Pilgrim,1/8/2019,RCIC system fails during surveillance testing,3.00E-06,https://www.nrc.gov/docs/ML1916/ML19169A279.pdf
Peach Bottom 2,6/3/2018,EDG air inlet check valve failure,5.00E-06,https://www.nrc.gov/docs/ML1834/ML18341A206.pdf
Peach Bottom 3,6/3/2018,EDG air inlet check valve failure,5.00E-06,https://www.nrc.gov/docs/ML1834/ML18341A206.pdf
Browns Ferry 3,3/9/2019,LOOP caused by operator error,3.00E-06,https://www.nrc.gov/docs/ML1928/ML19288A331.pdf
Clinton,5/17/2018,EDG inoperability due to air receiver remaining isolated following clearance tag removal,1.00E-06,https://www.nrc.gov/docs/ML1909/ML19092A212.pdf
Clinton,12/9/2017,480V transformer failure leads to containment instrument air isolation and subsequent manual reactor scram,8.00E-06,https://www.nrc.gov/docs/ML1905/ML19050A510.pdf
Peach Bottom 3,4/22/2018,RCIC system pressure switch failure,3.00E-06,https://www.nrc.gov/docs/ML1835/ML18352B099.pdf
Oyster Creek,10/9/2017,Failure of EDG during surveillance testing due to a broken electrical connector,6.00E-06,https://www.nrc.gov/docs/ML1813/ML18130A649.pdf
Waterford,7/17/2017,Severe storm causes main transformer fault and turbine trip with subsequent ABT failure resulting in LOOP,2.00E-05,https://www.nrc.gov/docs/ML1806/ML18066A196.pdf
Davis-Besse,9/13/2017,TDAFW pump bearing damaged due to improperly marked lubricating oil sight glass,4.00E-06,https://www.nrc.gov/docs/ML1810/ML18103A208.pdf
Clinton,6/15/2017,Division 3 shutdown SW pump start failure,4.00E-06,https://www.nrc.gov/docs/ML1805/ML18053A851.pdf
ANO 1,4/26/2017,High winds results in reactor trip and partial LOOP,1.00E-05,https://www.nrc.gov/docs/ML1731/ML17319B035.pdf
Catawba 2,4/11/2017,Failure to adequately establish and adjust preventative maintenance for EDG excitation system diodes,5.00E-06,https://www.nrc.gov/docs/ML1728/ML17289A300.pdf
Turkey Point 3,3/18/2017,"Loss of 4kV vital bus results in reactor trip, safety system actuations, and loss of SI",3.00E-06,https://www.nrc.gov/docs/ML1803/ML18038B063.pdf
Clinton,3/9/2017,Failure of the EDG ventilation fan load sequence relay circuit during concurrent maintenance of RHR pump,3.00E-06,https://www.nrc.gov/docs/ML1733/ML17331B161.pdf
Vogtle 2,3/9/2017,Power supply failure results in EDG failure during testing,8.00E-05,https://www.nrc.gov/docs/ML1725/ML17250B343.pdf
LaSalle 2,2/11/2017,HPCS system inoperable due to injection valve stem-disc separation,2.00E-05,https://www.nrc.gov/docs/ML1807/ML18072A326.pdf
Cooper,2/5/2017,"Concurrent unavailabilities—RHR loop A, RCIC, and emergency station service transformer",6.00E-06,https://www.nrc.gov/docs/ML1806/ML18068A724.pdf
Columbia,12/18/2016,Automatic scram due to offsite load reject,1.00E-05,https://www.nrc.gov/docs/ML1724/ML17249A968.pdf
Palo Verde 3,12/15/2016,EDG failure resulting in a condition prohibited by TS,2.00E-05,https://www.nrc.gov/docs/ML1731/ML17313B159.pdf
Perry,11/6/2016,EDG failure to start due to a failed diode in the DC control power circuit,9.00E-06,https://www.nrc.gov/docs/ML1723/ML17236A187.pdf
Oyster Creek,9/19/2016,One electromatic relief valve inoperable for greater than allowed outage time,5.00E-06,https://www.nrc.gov/docs/ML1710/ML17101A422.pdf
ANO 2,9/16/2016,EDG fails during testing due to insufficient bearing lubrication,9.00E-06,https://www.nrc.gov/docs/ML1705/ML17055A727.pdf
St. Lucie 1,8/21/2016,Generator lockout relay actuation during power ascension results in reactor trip,2.00E-06,https://www.nrc.gov/docs/ML1710/ML17108A232.pdf
